iter	Logloss
0	0.6737710648
1	0.6561363925
2	0.6385955169
3	0.6234198178
4	0.6075029774
5	0.5908518559
6	0.5748969968
7	0.5588790509
8	0.5451408835
9	0.530275457
10	0.5179717761
11	0.507291906
12	0.4969366378
13	0.4861130274
14	0.474271053
15	0.463746143
16	0.4555496408
17	0.4461267295
18	0.4369147485
19	0.4285877773
20	0.4198812276
21	0.4124605836
22	0.4042524129
23	0.3969859275
24	0.3904259305
25	0.383556975
26	0.3766149954
27	0.370107795
28	0.3645270532
29	0.3584582545
30	0.3526902399
31	0.3473614605
32	0.3425670592
33	0.3374824203
34	0.3327651785
35	0.3274590308
36	0.3235860232
37	0.3198822406
38	0.3152987055
39	0.3117557173
40	0.3078420623
41	0.3040817645
42	0.2997100574
43	0.2955607567
44	0.292448124
45	0.2884689139
46	0.2853870232
47	0.2822829174
48	0.2794423143
49	0.2761234316
50	0.2731151421
51	0.270271173
52	0.2673515192
53	0.2646977881
54	0.2620744144
55	0.2594443249
56	0.2566954509
57	0.2541541412
58	0.2517823131
59	0.2495781394
60	0.2470684853
61	0.2449188713
62	0.2429791619
63	0.2410709477
64	0.2391767422
65	0.2371804213
66	0.2352488862
67	0.2333530138
68	0.2315130314
69	0.2298290349
70	0.2279954157
71	0.2261613317
72	0.2243743864
73	0.2226154263
74	0.2208790499
75	0.2193778383
76	0.2177752968
77	0.2160708484
78	0.2145191802
79	0.213065492
80	0.2118170923
81	0.2106687402
82	0.2091164789
83	0.2080033887
84	0.2067099339
85	0.2055845341
86	0.2044382817
87	0.2030618491
88	0.2018392226
89	0.2006333616
90	0.1996274035
91	0.1985617886
92	0.1974913974
93	0.196339455
94	0.1952593507
95	0.1942150372
96	0.1931658833
97	0.192170664
98	0.1909049218
99	0.1898219004
100	0.1889468922
101	0.1877132704
102	0.1869393357
103	0.1858741215
104	0.184889016
105	0.1840268624
106	0.1832558287
107	0.182369713
108	0.1812403863
109	0.180475796
110	0.1797480703
111	0.1789597263
112	0.1782235699
113	0.1773448591
114	0.1765981081
115	0.1759792616
116	0.1752578832
117	0.1746629026
118	0.1739605174
119	0.1733456459
120	0.172597837
121	0.1716787995
122	0.1708317604
123	0.1702043549
124	0.1693280324
125	0.1686183705
126	0.1680909966
127	0.1674314066
128	0.1667820586
129	0.1659907333
130	0.1653948071
131	0.1647615192
132	0.1639740407
133	0.1632786919
134	0.1626190378
135	0.162022214
136	0.1614068296
137	0.1607185171
138	0.160111259
139	0.1595768648
140	0.1589766751
141	0.1583857336
142	0.1577300224
143	0.1570843769
144	0.156583786
145	0.1559992237
146	0.1554527122
147	0.1549084126
148	0.1544646576
149	0.1539561648
150	0.1533535388
151	0.1528508803
152	0.152315252
153	0.1519108941
154	0.1514213947
155	0.1509124531
156	0.150451019
157	0.1498643891
158	0.1494153928
159	0.1489337633
160	0.1483894156
161	0.1477921109
162	0.1474034606
163	0.1468708295
164	0.1464187558
165	0.1459605594
166	0.1454390197
167	0.1450458815
168	0.1445820271
169	0.1440168749
170	0.1434650581
171	0.1429429255
172	0.1424678995
173	0.142053556
174	0.1414950715
175	0.1410710311
176	0.1407438647
177	0.1403046295
178	0.1398256446
179	0.1393447043
180	0.1389371407
181	0.1385666663
182	0.1380955832
183	0.1377851342
184	0.137332756
185	0.1369433523
186	0.1365362376
187	0.1361372811
188	0.1356232747
189	0.1352226514
190	0.1347504624
191	0.1342779528
192	0.1338763357
193	0.133427644
194	0.1329946438
195	0.1326066827
196	0.1321929483
197	0.1317535048
198	0.1313928396
199	0.1310533636
200	0.1306648254
201	0.1302213989
202	0.1297406108
203	0.1294021126
204	0.1290387306
205	0.1285858956
206	0.1281754149
207	0.1278951869
208	0.1275129398
209	0.127163863
210	0.126876807
211	0.1265837325
212	0.1261466451
213	0.1258291357
214	0.1255060164
215	0.125230669
216	0.1249066201
217	0.1246017809
218	0.1241378143
219	0.1237960142
220	0.1233933072
221	0.1231071248
222	0.1227664387
223	0.1223562786
224	0.1220795127
225	0.1217147603
226	0.1214260855
227	0.1210716312
228	0.1208002347
229	0.1205109668
230	0.1202122424
231	0.1198257719
232	0.1195657233
