iter	Passed	Remaining
0	13	13672
1	27	13954
2	40	13490
3	53	13277
4	65	13127
5	77	12903
6	90	12887
7	103	12826
8	117	12887
9	132	13133
10	146	13154
11	159	13111
12	173	13172
13	187	13189
14	200	13185
15	212	13079
16	225	13021
17	238	12995
18	251	12981
19	263	12900
20	275	12831
21	288	12827
22	302	12845
23	316	12872
24	328	12817
25	341	12792
26	355	12793
27	367	12765
28	381	12761
29	393	12713
30	405	12683
31	418	12659
32	431	12656
33	444	12627
34	456	12588
35	468	12555
36	481	12536
37	493	12505
38	505	12465
39	519	12457
40	533	12475
41	546	12475
42	558	12432
43	571	12411
44	585	12415
45	597	12391
46	609	12356
47	621	12330
48	634	12310
49	647	12295
50	658	12261
51	671	12237
52	683	12219
53	696	12206
54	708	12179
55	721	12159
56	734	12148
57	747	12143
58	760	12128
59	772	12100
60	784	12081
61	797	12071
62	811	12068
63	823	12037
64	835	12021
65	849	12017
66	863	12020
67	876	12013
68	887	11979
69	900	11967
70	914	11960
71	927	11955
72	939	11930
73	952	11920
74	965	11912
75	978	11902
76	993	11911
77	1009	11931
78	1022	11925
79	1036	11924
80	1049	11911
81	1063	11909
82	1077	11905
83	1092	11912
84	1104	11887
85	1116	11869
86	1130	11863
87	1144	11858
88	1157	11845
89	1169	11823
90	1181	11803
91	1194	11792
92	1208	11782
93	1219	11757
94	1232	11741
95	1245	11733
96	1259	11725
97	1272	11708
98	1284	11690
99	1297	11677
100	1311	11671
101	1324	11664
102	1338	11653
103	1350	11631
104	1362	11613
105	1374	11596
106	1388	11585
107	1399	11562
108	1413	11554
109	1426	11540
110	1439	11527
111	1451	11510
112	1464	11492
113	1476	11476
114	1489	11462
115	1501	11441
116	1513	11423
117	1526	11406
118	1538	11393
119	1551	11376
120	1563	11356
121	1576	11343
122	1589	11330
123	1601	11316
124	1613	11295
125	1626	11279
126	1639	11267
127	1651	11250
128	1663	11231
129	1675	11214
130	1688	11201
131	1700	11181
132	1712	11165
133	1725	11148
134	1737	11133
135	1749	11116
136	1761	11097
137	1774	11084
138	1786	11068
139	1799	11051
140	1810	11031
141	1823	11016
142	1836	11004
143	1848	10985
144	1860	10968
145	1872	10955
146	1885	10942
147	1897	10925
148	1909	10907
149	1922	10893
150	1936	10885
151	1947	10866
152	1960	10851
153	1973	10839
154	1985	10824
155	1997	10808
156	2009	10791
157	2022	10779
158	2035	10764
159	2047	10750
160	2059	10733
161	2072	10719
162	2084	10704
163	2098	10697
164	2110	10680
165	2122	10665
166	2135	10650
167	2148	10638
168	2159	10620
169	2172	10607
170	2185	10594
171	2197	10580
172	2209	10563
173	2222	10550
174	2234	10535
175	2247	10523
176	2259	10505
177	2272	10494
178	2285	10482
179	2298	10469
180	2311	10457
181	2326	10457
182	2341	10455
183	2354	10443
184	2369	10437
185	2383	10429
186	2396	10416
187	2407	10398
188	2419	10384
189	2433	10374
190	2447	10367
191	2460	10353
192	2472	10338
193	2486	10332
194	2500	10322
195	2513	10312
196	2526	10297
197	2538	10282
198	2550	10267
199	2563	10254
200	2575	10239
201	2588	10224
202	2600	10211
203	2613	10197
204	2625	10183
205	2637	10167
206	2650	10153
207	2663	10140
208	2675	10125
209	2687	10108
210	2699	10094
211	2712	10082
212	2725	10069
213	2737	10052
214	2749	10040
215	2762	10026
216	2774	10012
217	2787	9998
218	2801	9991
219	2816	9984
220	2829	9971
221	2841	9958
222	2853	9942
223	2866	9929
224	2931	10099
225	2954	10116
226	2966	10101
227	2979	10089
228	2993	10077
229	3005	10061
230	3017	10046
231	3030	10030
232	3043	10017
233	3055	10002
234	3067	9986
235	3080	9972
236	3094	9962
237	3107	9948
238	3119	9931
239	3131	9917
240	3145	9905
241	3158	9891
242	3170	9875
243	3182	9860
244	3195	9847
245	3208	9833
246	3220	9819
247	3233	9805
248	3246	9791
249	3259	9778
250	3272	9765
251	3284	9749
252	3297	9736
253	3310	9722
254	3323	9710
255	3335	9695
256	3348	9680
257	3360	9666
258	3374	9653
259	3386	9639
260	3399	9624
261	3411	9609
262	3423	9594
263	3436	9580
264	3448	9564
265	3461	9551
266	3475	9540
267	3488	9529
268	3501	9514
269	3514	9501
270	3527	9489
271	3540	9475
272	3553	9463
273	3565	9447
274	3578	9433
275	3591	9420
276	3604	9407
277	3616	9392
278	3630	9382
